song_link,song,lyrics,artist_name
/lyric/36570830/Justin+Bieber/10%2C000+Hours,"10,000 Hours","Do you love the rain? Does it make you dance
When you're drunk with your friends at a party?
What's your favorite song, does it make you smile?
Do you think of me?

When you close your eyes, tell me, what are you dreamin'?
Everything, I wanna know it all

I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you (ooh, ooh ooh, ooh, ooh)

Do you miss the road that you grew up on?
Did you get your middle name from your grandma?
When you think about your forever now, do you think of me?

When you close your eyes, tell me, what are you dreamin'?
Everything, I wanna know it all

I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life

I'm gonna love you (ooh, ooh ooh, ooh, ooh)
I'm gonna love you (ooh, ooh ooh, ooh, ooh)

Ooh, want the good and the bad and everything in between
Ooh, gotta cure my curiosity
Ooh, yeah

I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours (sweet heart of yours)
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life

I'm gonna love you (ooh, ooh ooh, ooh, ooh)
I'm gonna love you (ooh, ooh ooh, ooh, ooh)
Yeah
And I
Do you love the rain, does it make you dance?
I'm gonna love you (I'm gonna love you)
I'm gonna love you",Justin-Bieber
/lyric/36373475/Justin+Bieber/Bad+Guy,Bad Guy,"Hmm, da-da-da-da-da
Da-da-da, hmm
Da-da-da-hmm (yeah, yeah)
Oh, ah

White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say ""thank you"" or ""please""
I do what I want when I'm wanting to
My soul so cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

Gold teeth, my neck, my wrist is froze (so icy)
I got more ice than, than the snow
That guy, don't act like you don't know
That guy, so critical (skrrt)
Tattoos on both my sleeves
Yeah, I don't sleep, please don't wake me
Loosen my tie up so I can breathe
It ain't political, oh no (uh-uh)

Yeah, I'm a bad guy
Ain't no holdin' back guy
Come off like I'm mad guy
Always got your back guy
Yeah, I'm the real type
Keep you for the thrills type
Show you what it feels like
Got an open invite
I'm the bad guy, whoa-ooh (duh)

I'm the bad guy
Duh
I'm only good at bein' bad, bad

(Ahh)
(Ah)
I like when you get mad
I guess I'm pretty glad that you're alone (so icy)
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne (let's go)

I'm the bad guy (damn right)
I-I'm the bad guy (aw, yeah)",Justin-Bieber
/lyric/36438001/Justin+Bieber/Trust+Issues,Trust Issues,"Aww yeah, aww yeah

All I care about is money and the city that I'm from
I'mma sing until I feel it, I'mma go until it's done
I don't need to say wassup and my excuse is that I'm young
And I'm only getting older, somebody shoulda told you
I'm on one
You know I'm on one, yeah
I said I'm on one
You know, I'm on one
Two white cups and I got that drink, it could be purple, it could be pink
Depending on how you mix that ish, money that we got 'cause we get that ish
'Cause I'm on one, yeah
You know I'm one one, yeah yeah

You know what I like
Oh yeah, oh yeah
Oh yes, oh yeah
Oh yeah, oh yeah

You just need to listen, I teach you how to fix it
'Cause you're the only one 'cause I don't trust these women
I don't, I don't trust these women 'cause they might have me slipping
You're the only one

I don't trust these women 'cause they might have me slipping
'Cause you're the only one 'cause I don't trust these women
I don't, I don't trust these women 'cause they might have me slipping
'Cause you're the only one

Oh woah, trust issues, oh woah, trust issues
Oh woah, trust issues, oh woah
Oh yeah, oh yeah

Oh yeah, let's call up one drink and let's all get wasted
One drink and let's all get faded, yeah

Drizzy Drake, check me out
Coming live from the motherfucking North Side
Kick game, run game, run it real good
But never ever have my bitches sitting court side
Same nigga that you knew way back when
You acting like it's somebody you don't know
Tell me, how the f*ck we supposed to stay friends
When you got a bunch of feelings that you don't show?
I could tell, I could tell
I could tell certain people don't like me no more
New shit don't excite me no more
Guess that they don't really make 'em like me no more
You can look me in my eyes and see I ain't myself
'Cause if y'all what I created then I hate myself
But still, let them girls in
And tell them all leave their cell phones
On the table where we see them
I'm all day with it man, A.M to the P.M
Niggas hating, I just wish that they would say it when they see him

That's that ish that drives me crazy
And that's all I've been getting lately
And it's probably why I'm scared to put the time in
Women want to f*ck like they're me and I'm them
Looking for some things and I think that I can find them in you

Oh woah, trust issues, oh woah, trust issues
Oh woah, trust issues, oh woah

Yeah, oh yeah, oh yeah
Let's call up one drink and let's all get wasted
One drink and let's all get faded, yeah
Oh yeah, oh yeah
Call up one drink and let's, let's call up one, uh",Justin-Bieber
/lyric/36333120/Justin+Bieber/Love+Thru+the+Computer,Love Thru the Computer,"You know I've been searchin' for someone
I've been lookin', uh, for the perfect one
Who could share that special love with me
Mrs. Perfect
And your eyes have that glow
But she had that glow though
Could it be your face I see on my computer screen
Could it be?
Uh, yeah
Go

I was in the jail thinking 'bout problems
Like all the niggas, when I get out, I'ma rob 'em (Han)
Shit was hard, up and down, it was '09 (Nine)
Lookin' through this magazine, she was so fine
Pretty brown, black bitch what a draft pick
High, yellow thick chick with an accent (Yellow)
I told her, ""I ain't ever seen another cuter"" (No)
Good brain, she don't even need a tutor (Wow)
F*ck a shooter, I'll shoot a nigga shooter (Bah bah)
Long money, I don't even need a ruler (Wow)
A big dawg, I ain't even been a poodle (Grr)
So much ice on my bitch, she need a cooler (Brr, brr)
And I just stirred the P's like Luda (Like Luda)
But drop it low like you be doin' on that computer (Compu, compu)
You want a loan, get your love, I want computer love (Hah)
So drop it low and back it back like a computer does (Wow)

Ooh, you can meet me, you can meet me on my laptop (Yeah, hey)
Ooh, you can meet me, you can meet me on my laptop (Yeah)
Ooh, when we both logged on, I didn't wanna turn off
That's that computer love (Guwop)

Hit you up on the laptop (Laptop)
I told you meet me at the last spot, you went with me, fell in love
Didn't take long for you to gain my trust, no
With all that I've been through, you make it simple
I never thought I would meet an angel
Until I met you (You), until I met you (Go)

I'ma put you on the rocks (Bling)
Nobody fuckin' with the Wops (Brr)
Baby give me all that she got
Share with me, we gon' throw it all in the pot (Hot, hot)
This the type of love more than physical (Hot)
When a king get a queen, he invincible (Han)
Fought the system every level, it was critical (Ha)
F*ck the feds, state, civil, and municipals (F*ck 'em)
Even then, through computers I was kissin' you (Mwah)
Remember through the computer, I would visit you (Me)
Daydreamin' 'bout us fuckin' in your living room (Uh)
Doin' push ups 'cause I know you 'bout to visit soon (Grr)
I'm from the 6, I grew up in the worst trap (Zone)
I'm way too rich, babe, to fall for a thirst trap (Huh?)
Plus I know the grass ain't greener on the other side (No)
'Cause my house so big, I rarely see the other side (Wow)

Ooh, you can meet me, you can meet me on my laptop (Yeah, hey)
Ooh, you can meet me, you can meet me on my laptop (Yeah)
Ooh, when we both logged on, I didn't wanna turn off
That's that computer love (Yeah)

Computer love, computer love
Computer love, comp- love
Computerized, digital love",Justin-Bieber
/lyric/36259549/Justin+Bieber/No+Brainer,No Brainer,"We the Best Music!
Another one!
DJ Khaled!

You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high

Quavo!
Mama told you don't talk to strangers (mama, mama, mama!)
But when you're ridin' in the drop, you can't explain it (skrrt, skrrt, skrrt-skrrt)
What you been waitin' on this whole time? (Yeah)
I blow the brains outta your mind (ooh)
And I ain't talkin' 'bout physically (no)
I'm talkin' 'bout mentally (talkin' 'bout mentally)
She lookin', she look like she nasty (she lookin')
She lookin', she look like she classy (she lookin')
She lookin', just look at her dancin' (look at her)
She lookin', I took her to the mansion (yeah, yeah)

You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high

Don't look rich, I ain't got no chain (huh)
Not on the list, I ain't got no name
But we in this bitch, bitch, I'm not no lame
And I keep it Ben Franklin, I'm not gon' change
Lot of these hoes is messy (messy)
I just want you and your bestie
I don't got the answer for whenever you text me
It's multiple choice and they all wanna test me
She ch-ch-ch-ch-choosin' the squad
She tryna choose between me, Justin, Qua' and Asahd
She told me that she love that I make music for God
I told her I would love to see that ***** applaud

You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high

Walked down, had me sittin' up
Demanded my attention, had to give it up
Look like somebody designed you
Drop-dead gorgeous, you make me wanna live it up
Your presence is critical
Movin' my soul, yeah, you're spiritual
They hate it when you notice me
Like everybody else invisible (ooh)
Breakin' all the rules (oh-oh)
So above the law (so above the law)
I'll be your excuse (damn right)
Uh, and you go wrong, no

You stick out of the crowd, baby, it's a no-brainer (no-brainer)
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer (no-brainer)
You got your mind unloose
Go hard and watch the sun rise (rise)
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer (oh, no)
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, oh (yeah, in the middle)
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high (put 'em high)
(Put 'em high) yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah (both sides in here)
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high (put 'em high)

It's We the Best Music! (Way high)
It's Father Of Ahsad
Another one!",Justin-Bieber
/lyric/36221045/Justin+Bieber/I+Don%27t+Care,I Don't Care,"I'm at a party I don't wanna be at
And I don't ever wear a suit and tie
Wonderin' if I could sneak out the back
Nobody's even lookin' me in my eyes
Then you take my hand
Finish my drink, say, ""Shall we dance?"" Hell, yeah
You know I love you, did I ever tell you?
You make it better like that

Don't think I fit in at this party
Everyone's got so much to say, yeah
I always feel like I'm nobody, mm
Who wants to fit in anyway?

'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
And you're making me feel like maybe I am somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
'Cause I don't care, as long as you just hold me near
You can take me anywhere
And you're making me feel like I'm loved by somebody
I can deal with the bad nights
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh

We at a party we don't wanna be at
Tryna talk, but we can't hear ourselves
Read your lips, I'd rather kiss 'em right back
With all these people all around
I'm crippled with anxiety
But I'm told it's where I'm supposed to be
You know what? It's kinda crazy 'cause I really don't mind
And you make it better like that

Don't think we fit in at this party
Everyone's got so much to say, oh yeah, yeah
When we walked in, I said I'm sorry, mm
But now I think that we should stay

'Cause I don't care when I'm with my baby, yeah
All the bad things disappear
Yeah, you're making me feel like maybe I am somebody
I can deal with the bad nights when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah)
'Cause I don't care as long as you just hold me near
You can take me anywhere
And you're making me feel like I'm loved by somebody
I can deal with the bad nights when I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (no)

I don't like nobody but you
It's like you're the only one here
I don't like nobody but you
Baby, I don't care
I don't like nobody but you
I hate everyone here
I don't like nobody but you
Baby, yeah

'Cause I don't care (don't care) when I'm with my baby, yeah (oh yeah)
All the bad things disappear (disappear)
And you're making me feel like maybe I am somebody (maybe I'm somebody)
I can deal with the bad nights (with the bad nights)
When I'm with my baby, yeah
Ooh, ooh, ooh, ooh, ooh, ooh (oh yeah, yeah, yeah)
'Cause I don't care as long as you just hold me near (me near)
You can take me anywhere (anywhere, anywhere)
And you're making me feel like I'm loved by somebody (I'm loved by somebody)
I can deal with the bad nights (yeah, yeah, yeah)
When I'm with my baby, yeah (oh)
Ooh, ooh, ooh, ooh, ooh, ooh",Justin-Bieber
/lyric/36341195/Justin+Bieber/Don%27t+Check+on+Me,Don't Check on Me,"If I'm out at the bar havin' a night on the town
Life of the party, pourin' shots of the brown
And you see me from the street but I don't turn around
Would you say, ""Hi""? Would you keep going?

If I told your family that you didn't mean nothing
If you posted about it and I didn't even comment
If the songs weren't true, but you still feel something
Would you still come looking for me?

Oh, don't go reaching out
'Cause you can't have everything
Your head and your heart won't feel the same
Even if it feels like it every time

Don't check on me
If we're not together, then it's probably for a reason
Every heartbreak has its season
It ain't always summer in June

Might run across your mind but don't worry 'bout me, no
My heart is back in one piece, it ain't skipped a beat, no
Feeling rested up, I ain't missing sleep, no oh
Don't take it personal if I can't reply now
I'm distant 'cause I don't wanna be reached now
Won't let the ghosts of our past weigh my future down
I'm liberated
Energy's like a circle, it comes back around
Reciprocated
Don't shed no more tears
Won't gain no empathy from me
In the upcoming years
Oh, I don't need your pity
Don't check on me

Oh, don't check on me
If we're not together, then it's probably for a reason
Every heartbreak has its season
And it looks like winter for you

Ain't call you back 'cause I let it go
I had to focus energy and just let it flow
And when we ride low, we're already gone
It wouldn't mean anymore to me now
I know it hurts you so bad just to see me happy
That I finally moved on, and you thought it wouldn't happen
At times I used to cry, wouldn't know when I was laughing
But I act like I didn't notice

Oh, don't go reaching out
'Cause you can't have everything
You can't kill a flame with gasoline
Even if it feels like it every time (No matter how hard you try)

Don't check on me
If we're not together, then it's probably for a reason
Every heartbreak has its season
It ain't always summer in June
Don't check on me
If we're not together, then it's probably for a reason
Every heartbreak has its season
It ain't always summer in June",Justin-Bieber
/lyric/35873926/Justin+Bieber/Sorry+%5BNOW+57%5D,Sorry [NOW 57],"(Ooh, ooh)
(Ooh, ooh)

You gotta go and get angry at all of my honesty
You know I try but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

Yeah, is it too late now to say sorry?
'Cause I'm missin' more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

(Ooh, ooh)
I'm sorry, yeah
(Ooh, ooh)
Sorry, yeah
(Ooh, ooh)
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
(Ooh, ooh)

I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

Yeah, is it too late now to say sorry?
'Cause I'm missin' more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (oh, no-no)
'Cause I'm missin' more than just your body (your body)
Is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

(Ooh, ooh)
I'm sorry, yeah
(Ooh, ooh)
Sorry, oh
(Ooh, ooh)
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
(Ooh, ooh)
I'm sorry, yeah
(Ooh, ooh)
Sorry, oh
(Ooh, ooh)
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?",Justin-Bieber
/lyric/35944222/Justin+Bieber/Despacito,Despacito,"Come on over in my direction 
So thankful for that, it's such a blessin', yeah 
Turn every situation into Heaven, yeah 
Oh, you are 
My sunrise on the darkest day 
Got me feelin' some kind of way 
Make me wanna savor every moment slowly, slowly 
You fit me, tailor-made love, how you put it on 
Got the only key, know how to turn it on 
The way you nibble on my ear, the only words I wanna hear 
Baby take it slow so we can last long 

Oh, tú, tú eres el imán y yo soy el metal 
Me voy acercando y voy armando el plan 
Solo con pensarlo se acelera el pulso 
(Oh, yeah) Ya, ya me está gustando más de lo normal 
Todos mis sentidos van pidiendo más 
Esto hay que tomarlo sin ningún apuro 

Despacito 
Quiero respirar tu cuello despacito 
Deja que te diga cosas al oído 
Para que te acuerdes si no estás conmigo 
Despacito 
Quiero desnudarte a besos despacito 
Firmo en las paredes de tu laberinto 
Y hacer de tu cuerpo todo un manuscrito 
Sube, sube, sube, sube, sube

Quiero ver bailar tu pelo 
Quiero ser tu ritmo 
Que le enseñes a mi boca 
Tus lugares favoritos (Favoritos, favoritos, baby) 
Déjame sobrepasar tus zonas de peligro 
Hasta provocar tus gritos 
Y que olvides tu apellido 

Si te pido un beso, ven, dámelo 
Yo sé que estás pensándolo 
Llevo tiempo intentándolo 
Mami, esto es dando y dándolo 
Sabes que tu corazón conmigo te hace bom, bom 
Sabes que esa beba está buscando de mi bom, bom 
Ven, prueba de mi boca para ver cómo te sabe 
Quiero, quiero, quiero ver cuánto amor a ti te cabe 
Yo no tengo prisa, yo me quiero dar el viaje 
Empecemos lento, después salvaje 

Pasito a pasito, suave suavecito 
Nos vamos pegando, poquito a poquito 
Cuando tú me besas con esa destreza 
Veo que eres malicia con delicadeza 
Pasito a pasito, suave suavecito 
Nos vamos pegando, poquito a poquito 
Y es que esa belleza es un rompecabezas 
Pero pa' montarlo aquí tengo la pieza 
¡Oye! 

Despacito 
Quiero respirar tu cuello despacito 
Deja que te diga cosas al oído 
Para que te acuerdes si no estás conmigo 
Despacito 
Quiero desnudarte a besos despacito 
Firmo en las paredes de tu laberinto 
Y hacer de tu cuerpo todo un manuscrito 
Sube, sube, sube, sube, sube

Quiero ver bailar tu pelo 
Quiero ser tu ritmo 
Que le enseñes a mi boca 
Tus lugares favoritos (Favoritos, favoritos, baby) 
Déjame sobrepasar tus zonas de peligro 
Hasta provocar tus gritos 
Y que olvides tu apellido 

Despacito 
This is how we do it down in Puerto Rico 
I just wanna hear you screaming, ""¡Ay, Bendito!"" 
I can move forever cuando esté contigo 
¡Bailalo! 

Pasito a pasito, suave suavecito 
Nos vamos pegando, poquito a poquito 
Que le enseñes a mi boca 
Tus lugares favoritos (Favoritos, favoritos, baby) 
Pasito a pasito, suave suavecito 
Nos vamos pegando, poquito a poquito 
Hasta provocar tus gritos (Fonsi) 
Y que olvides tu apellido (D.Y.) 
Despacito",Justin-Bieber
/lyric/35027841/Justin+Bieber/One+Time,One Time,"Me plus you, I'ma tell you one time
Me plus you, I'ma tell you one time
Me plus you, I'ma tell you one time

One time
One time

When I met you girl my heart went knock knock knock
Now them butterflies in my stomach won't stop stop
And even though it's a struggle love is all we got
So we gonna keep keep climbin' till the mountain top

Your world is my world
And my fight is your fight
My breath is your breath
And your heart (is my heart)

You're my one love
My one heart
My one life for sure
Let me tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)
And I'ma be your one guy
You'll be my number one girl always makin' time for you
I'ma tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)

You look so deep
You know that it humbles me
You're by my side and what troubles them don't trouble me
Many have called but the chosen is you
Whatever you want shawty I'll give it to you

Your world is my world
And my fight is your fight
My breath is your breath
And your heart (is my heart)

You're my one love
My one heart
My one life for sure
Let me tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)
And I'ma be your one guy
You'll be my number one girl always makin' time for you
I'ma tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)

Shawty right there
She's got everything I need and I'ma tell her one time
One time, one time
Give you everything you need down to my last dime
She makes me happy
I know where I'll be
Right by your side 'cause she is the one
For me

You're my one love
My one heart
My one life for sure
Let me tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)
And I'ma be your one guy
You'll be my number one girl always makin' time for you
I'ma me tell you one time (girl I love, girl I love you)
I'ma tell you one time (girl I love, girl I love you)

Me plus you, I'ma tell you one time
Me plus you, I'ma tell you one time
Me plus you, I'ma tell you one time

One time
One time",Justin-Bieber
